date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:42:59	3813/3813	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2017%20Mar%202021%2005:36:48%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/pages/demo.apex-scatter.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/pages/demo.apex-scatter.js	(from https://coderthemes.com/hyper_2/saas/charts-apex-scatter.html)
11:43:00	5694/5694	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2017%20Mar%202021%2005:36:48%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/pages/demo.apex-sparklines.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/pages/demo.apex-sparklines.js	(from https://coderthemes.com/hyper_2/saas/charts-apex-sparklines.html)
11:43:00	4179/4179	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/css/vendor/britecharts.min.css	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/css/vendor/britecharts.min.css	(from https://coderthemes.com/hyper_2/saas/charts-brite.html)
11:43:01	248314/248314	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2017%20Mar%202021%2005:36:48%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/d3.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/d3.min.js	(from https://coderthemes.com/hyper_2/saas/charts-brite.html)
11:43:02	298766/298766	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/britecharts.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/britecharts.min.js	(from https://coderthemes.com/hyper_2/saas/charts-brite.html)
11:43:02	7570/7570	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2019%20Oct%202019%2012:34:23%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/pages/demo.britechart.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/pages/demo.britechart.js	(from https://coderthemes.com/hyper_2/saas/charts-brite.html)
11:43:03	5244/5244	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/pages/demo.chartjs.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/pages/demo.chartjs.js	(from https://coderthemes.com/hyper_2/saas/charts-chartjs.html)
11:43:03	62673/62673	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2019%20Oct%202019%2012:34:23%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/jquery.sparkline.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/jquery.sparkline.min.js	(from https://coderthemes.com/hyper_2/saas/charts-sparkline.html)
11:43:04	3314/3314	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2017%20Mar%202021%2005:36:48%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/pages/demo.sparkline.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/pages/demo.sparkline.js	(from https://coderthemes.com/hyper_2/saas/charts-sparkline.html)
11:43:04	5688/5688	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/css/vendor/buttons.bootstrap5.css	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/css/vendor/buttons.bootstrap5.css	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:05	4927/4927	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/css/vendor/select.bootstrap5.css	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/css/vendor/select.bootstrap5.css	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:05	308/308	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/css/vendor/fixedHeader.bootstrap5.css	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/css/vendor/fixedHeader.bootstrap5.css	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:06	1610/1610	---MCZ	200	added ('OK')	text/css	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/css/vendor/fixedColumns.bootstrap5.css	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/css/vendor/fixedColumns.bootstrap5.css	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:06	24315/24315	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/dataTables.buttons.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/dataTables.buttons.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:08	1383/1383	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.bootstrap5.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.bootstrap5.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:08	25090/25090	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.html5.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.html5.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:09	26265/26265	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.flash.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.flash.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:09	2514/2514	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.print.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/buttons.print.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:10	15797/15797	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/dataTables.keyTable.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/dataTables.keyTable.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:10	12156/12156	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/dataTables.select.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/dataTables.select.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
11:43:10	531/531	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2006%20Dec%202021%2005:08:05%20GMT	https://coderthemes.com/hyper_2/saas/assets/js/vendor/fixedColumns.bootstrap5.min.js	C:/My%20Web%20Sites/Dashboard%204/coderthemes.com/hyper_2/saas/assets/js/vendor/fixedColumns.bootstrap5.min.js	(from https://coderthemes.com/hyper_2/saas/tables-datatable.html)
